"松山機場","2019-12-08 00",16,7
"松山機場","2019-12-08 01",0,0
"松山機場","2019-12-08 05",0,0
"松山機場","2019-12-08 06",21,193
"松山機場","2019-12-08 07",39,242
"松山機場","2019-12-08 08",115,224
"松山機場","2019-12-08 09",203,312
"松山機場","2019-12-08 10",245,360
"松山機場","2019-12-08 11",354,329
"松山機場","2019-12-08 12",316,385
"松山機場","2019-12-08 13",318,489
"松山機場","2019-12-08 14",444,445
"松山機場","2019-12-08 15",429,416
"松山機場","2019-12-08 16",481,448
"松山機場","2019-12-08 17",502,467
"松山機場","2019-12-08 18",465,251
"松山機場","2019-12-08 19",350,198
"松山機場","2019-12-08 20",322,202
"松山機場","2019-12-08 21",324,140
"松山機場","2019-12-08 22",239,115
"松山機場","2019-12-08 23",61,31
"松山機場","2019-12-09 00",8,2
"松山機場","2019-12-09 01",0,0
"松山機場","2019-12-09 05",0,0
"松山機場","2019-12-09 06",46,219
"松山機場","2019-12-09 07",279,446
"松山機場","2019-12-09 08",420,841
"松山機場","2019-12-09 09",346,412
"松山機場","2019-12-09 10",214,319
"松山機場","2019-12-09 11",268,335
"松山機場","2019-12-09 12",265,395
"松山機場","2019-12-09 13",291,358
"松山機場","2019-12-09 14",298,309
"松山機場","2019-12-09 15",293,346
"松山機場","2019-12-09 16",343,322
"松山機場","2019-12-09 17",482,438
"松山機場","2019-12-09 18",751,432
"松山機場","2019-12-09 19",471,251
"松山機場","2019-12-09 20",274,202
"松山機場","2019-12-09 21",253,165
"松山機場","2019-12-09 22",154,94
"松山機場","2019-12-09 23",36,19
"松山機場","2019-12-10 00",13,7
"松山機場","2019-12-10 01",1,0
"松山機場","2019-12-10 05",0,0
"松山機場","2019-12-10 06",44,190
"松山機場","2019-12-10 07",272,416
"松山機場","2019-12-10 08",407,851
"松山機場","2019-12-10 09",378,405
"松山機場","2019-12-10 10",199,292
"松山機場","2019-12-10 11",305,258
"松山機場","2019-12-10 12",266,303
"松山機場","2019-12-10 13",342,325
"松山機場","2019-12-10 14",293,301
"松山機場","2019-12-10 15",413,257
"松山機場","2019-12-10 16",307,348
"松山機場","2019-12-10 17",462,425
"松山機場","2019-12-10 18",750,454
"松山機場","2019-12-10 19",435,295
"松山機場","2019-12-10 20",243,203
"松山機場","2019-12-10 21",239,211
"松山機場","2019-12-10 22",172,115
"松山機場","2019-12-10 23",40,27
"松山機場","2019-12-11 00",15,11
"松山機場","2019-12-11 01",0,0
"松山機場","2019-12-11 05",0,0
"松山機場","2019-12-11 06",45,178
"松山機場","2019-12-11 07",287,366
"松山機場","2019-12-11 08",467,834
"松山機場","2019-12-11 09",363,413
"松山機場","2019-12-11 10",203,272
"松山機場","2019-12-11 11",308,319
"松山機場","2019-12-11 12",250,355
"松山機場","2019-12-11 13",253,407
"松山機場","2019-12-11 14",319,273
"松山機場","2019-12-11 15",336,327
"松山機場","2019-12-11 16",310,325
"松山機場","2019-12-11 17",480,419
"松山機場","2019-12-11 18",853,450
"松山機場","2019-12-11 19",441,290
"松山機場","2019-12-11 20",270,180
"松山機場","2019-12-11 21",270,212
"松山機場","2019-12-11 22",175,126
"松山機場","2019-12-11 23",62,21
"松山機場","2019-12-12 00",18,13
"松山機場","2019-12-12 01",1,0
"松山機場","2019-12-12 05",0,0
"松山機場","2019-12-12 06",48,214
"松山機場","2019-12-12 07",275,422
"松山機場","2019-12-12 08",428,781
"松山機場","2019-12-12 09",365,416
"松山機場","2019-12-12 10",279,344
"松山機場","2019-12-12 11",267,273
"松山機場","2019-12-12 12",264,321
